Grant County, Kansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,53.4,-1.9
199012,54.9,-0.4
199112,55.1,-0.2
199212,54.1,-1.2
199312,52.4,-2.9
199412,55.5,0.2
199512,54.4,-0.9
199612,54.0,-1.3
199712,53.9,-1.4
199812,56.2,0.9
199912,56.0,0.7
200012,56.2,0.9
200112,56.1,0.8
200212,55.4,0.1
200312,55.7,0.4
200412,55.6,0.3
200512,56.0,0.7
200612,56.7,1.4
200712,54.6,-0.7
200812,54.9,-0.4
200912,54.3,-1.0
201012,55.9,0.6
201112,55.6,0.3
201212,58.1,2.8
201312,54.6,-0.7
201412,54.7,-0.6
201512,56.7,1.4
201612,57.0,1.7
201712,56.2,0.9
201812,55.4,0.1
201912,54.5,-0.8
