Haskell County, Kansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,53.3,-1.9
199012,54.8,-0.4
199112,55.1,-0.1
199212,53.9,-1.3
199312,52.0,-3.2
199412,55.2,0.0
199512,54.2,-1.0
199612,53.8,-1.4
199712,53.7,-1.5
199812,56.1,0.9
199912,55.8,0.6
200012,55.7,0.5
200112,56.1,0.9
200212,55.1,-0.1
200312,55.5,0.3
200412,55.4,0.2
200512,56.0,0.8
200612,56.8,1.6
200712,54.8,-0.4
200812,54.7,-0.5
200912,54.3,-0.9
201012,55.7,0.5
201112,55.6,0.4
201212,58.1,2.9
201312,54.6,-0.6
201412,54.7,-0.5
201512,56.8,1.6
201612,57.2,2.0
201712,56.6,1.4
201812,55.4,0.2
201912,54.4,-0.8
