Haskell County, Kansas, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,24.34,4.42
199012,24.01,4.09
199112,18.74,-1.18
199212,19.11,-0.81
199312,24.64,4.72
199412,18.31,-1.61
199512,18.01,-1.91
199612,25.01,5.09
199712,22.87,2.95
199812,20.46,0.54
199912,22.31,2.39
200012,18.86,-1.06
200112,15.75,-4.17
200212,13.03,-6.89
200312,16.36,-3.56
200412,23.72,3.80
200512,20.39,0.47
200612,19.46,-0.46
200712,16.13,-3.79
200812,18.07,-1.85
200912,21.41,1.49
201012,15.20,-4.72
201112,9.53,-10.39
201212,14.32,-5.60
201312,16.59,-3.33
201412,19.94,0.02
201512,31.35,11.43
201612,22.24,2.32
201712,23.26,3.34
201812,25.45,5.53
201912,18.61,-1.31
