Okanogan County, Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,42.4,-0.5
199012,42.7,-0.2
199112,42.9,0.0
199212,44.1,1.2
199312,41.0,-1.9
199412,43.7,0.8
199512,42.9,0.0
199612,40.4,-2.5
199712,42.2,-0.7
199812,44.8,1.9
199912,42.8,-0.1
200012,41.9,-1.0
200112,43.0,0.1
200212,43.1,0.2
200312,43.9,1.0
200412,44.4,1.5
200512,42.9,0.0
200612,43.3,0.4
200712,42.5,-0.4
200812,41.5,-1.4
200912,42.0,-0.9
201012,42.8,-0.1
201112,41.2,-1.7
201212,42.7,-0.2
201312,42.9,0.0
201412,43.8,0.9
201512,45.8,2.9
201612,44.2,1.3
201712,42.4,-0.5
201812,43.7,0.8
201912,42.3,-0.6
