Skagit County, Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,45.5,-0.7
199012,45.7,-0.5
199112,46.0,-0.2
199212,47.6,1.4
199312,45.4,-0.8
199412,46.6,0.4
199512,46.8,0.6
199612,44.8,-1.4
199712,46.3,0.1
199812,47.4,1.2
199912,45.4,-0.8
200012,45.6,-0.6
200112,45.6,-0.6
200212,45.7,-0.5
200312,47.1,0.9
200412,47.7,1.5
200512,46.9,0.7
200612,46.4,0.2
200712,45.5,-0.7
200812,44.6,-1.6
200912,45.6,-0.6
201012,46.5,0.3
201112,44.3,-1.9
201212,45.6,-0.6
201312,46.2,0.0
201412,47.1,0.9
201512,48.7,2.5
201612,47.4,1.2
201712,45.8,-0.4
201812,46.8,0.6
201912,46.1,-0.1
