Spokane County, Washington, Precipitation, January-December
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198912,19.43,-1.04
199012,22.60,2.13
199112,18.44,-2.03
199212,17.89,-2.58
199312,18.58,-1.89
199412,18.17,-2.30
199512,25.08,4.61
199612,28.52,8.05
199712,21.61,1.14
199812,22.20,1.73
199912,19.39,-1.08
200012,19.08,-1.39
200112,17.86,-2.61
200212,16.48,-3.99
200312,18.32,-2.15
200412,18.80,-1.67
200512,19.14,-1.33
200612,24.61,4.14
200712,16.66,-3.81
200812,19.08,-1.39
200912,18.37,-2.10
201012,23.66,3.19
201112,19.67,-0.80
201212,27.57,7.10
201312,16.73,-3.74
201412,20.55,0.08
201512,18.21,-2.26
201612,23.85,3.38
201712,26.10,5.63
201812,19.73,-0.74
201912,18.09,-2.38
